company,website,segment,notes,source
Autohub Group,https://www.autohubgroup.com,content-team,"Multi-brand auto dealer, heavy promo",chambers
Admiral Hotel Manila MGallery,https://www.admiralhotelmanila.com,content-team,5-star hotel F&B/events content,chambers
AGS International Movers,https://www.agsmovers.com,content-team,Relocation services marketing,chambers
Asian Tigers Group,https://asiantigersgroup.com,content-team,Relocation services brand,chambers
AGC Development Corporation,https://agcdevcorp.com.ph,content-team,"Consulting/training, markets courses",chambers
Potato Corner,https://www.potatocorner.com,content-team,"Global snack franchise, heavy social",chambers
Bo's Coffee,https://www.boscoffee.com,content-team,"Homegrown coffee, D2C + subscriptions",chambers
Binalot Fiesta Foods,https://www.binalot.com,content-team,"Filipino QSR, menu launches",chambers
Figaro Coffee Company,https://www.figarocoffee.com,content-team,"Café brand, blends + franchise",chambers
Angel's Pizza,https://www.angelspizza.com.ph,content-team,"Delivery brand, app + promos",chambers
Jollibee,https://www.jollibee.com.ph,content-team,"QSR leader, continuous campaigns",chambers
Mang Inasal,https://www.manginasal.ph,content-team,"570+ store chain, heavy promo",chambers
Waffle Time,https://www.waffletime.com,content-team,400+ location brand + franchise,chambers
Julie's Bakeshop,https://www.juliesbakeshop.com.ph,content-team,Nationwide bakery + franchise,chambers
Minute Burger,https://www.minuteburger.com,content-team,"600+ location brand, promos",chambers
Oryspa,https://www.oryspa.com,content-team,"Wellness/spa D2C, content need",chambers
